productid,productname,productname marathi,rate,unit
1,PAYAL,पायल,,
2,PAYAL CARD,पायल कार्ड,,
3,ANGTHI,आंगठि,,
4,NECKLESS,नेक्लेस,,
5,E.RING,इ.रिंग,,
6,TOPS E.RING,टॉप्स इ.रिंग,,
7,STONE RING,स्टोन रिंग,,
8,SANIYA RING,सानिया रिंग,,
9,SANIYA,सानिया,,
10,BALI,बालि,,
11,CHAIN,चैन,,
12,MANGLSUTRA,मंगळसुतर,,
13,JUMAKA,जुमका,,
14,MOHAN MALA,मोहन माळा,,
15,BOARMALA,बोरमाळा,,
16,PHOHEHAR,पोहेहार,,
17,THUSE,ठुसे,,
18,DEVYANI SET,देवयानि सेट,,
19,SET,सेट,,
20,PENDAL,पेन्डल,,
21,STONE PENDAL,स्टोन पेन्डल,,
22,JODVA,जोडवा,,
23,BICHWA,बिचवा,,
24,VEL,वेल,,
25,STONE VEL,स्टोन वल,,
26,JUBA VEL,जुबा वेल,,
27,NATH,नथ,,
28,BUGDI,बुगडि,,
29,CHALLA,छल्ला,,
30,MEKHLA,मेखला,,
31,GUND CHAIN,गुंड चैन,,
32,KAN CHIAN,कान चैन,,
33,4 BANGDI,4 बांगडि,,
34,6 BANGADI SET,6बांगडि सट,,
35,STONE BANGDI,स्टोन बांगडि,,
36,MOTI BANGDI,मोति बांगडि,,
37,KANGAN,कंगन,,
38,BACCAL,बक्कल,,
39,KUNDAN BACCAL,कुंदन बक्कल,,
40,ROUND BACCAL,राउंड बक्कल,,
41,HAIR PIN,हेअर पिन,,
42,BOW,बो,,
43,RUBBER,रबर,,
44,BITS,बिट,,
45,TIK TOK,टिक टॉक,,
46,CLUCHAR,क्लचर,18,pkg
47,KITTLE,किटलि,,
48,TIKLI DABI,टिकलि डब्बि,,
49,TIKALI FANCY,टिकलि फैसि,,
50,NAIL REMOVER,नेल रिमोव्हर,,
51,NAGOBA,नाबोबा,,
52,MEHADI CONE,मेंहदि कोन,,
53,MEHANDI,मेंहदि,,
54,NAIL PAINT,नेल पेंट,,
55,LIPSTICK,लिप्टिक,,
56,SINDUR,सिंदुर,,
57,HAIR REMOVER,हेअर रिमोव्हर,,
58,MAKEUP KIT,मेकअप किट,,
59,FOUNDATION,फांउडेशन,,
60,COMPAQ POWDER,कॉम्प्याक पाऊडर,,
61,POUNDS,पॉन्डस,,
62,FAIR N LOVLY,फेअर न लव्हलि,,
63,KAJAL,काजल,,
64,KAJAL PENCEL,काजल पेन्शिल,,
65,EYEBRO PENCEL,आइब्रो पेन्शिल,,
66,LIP LINER,लिप लाइनर,,
67,EYE LINER,आई लाइनर,,
68,MASKARA,मस्करा,,
69,GANDH,गंध,,
70,HAIR BELT,हेअर बेल्ट,,
71,HAIR TIKLI,हेअर टिकलि,,
72,SEFTY PIN,सेफटि पिन,,
73,SARI PIN,साडि पिन,,
74,NERA PIN,नेरा पिन,,
75,BRASLATE,ब्रासलेट,,
76,KAGAVA,कंगवा,,
77,KASMIRI SET,काश्मिरि सेट,,
78,KASMIRI JUMKA,काश्मिरि जुमका,,
79,RANIHAR,रानिहार,,
80,MANI,मणी,,
81,MANI GOLDAN,मणी गोल्डन,,
82,MANI DISCO,मणी डिस्को,,
83,12 BANGDI SET,12 बांगडी सेट,,
84,PARSE,पर्स,,
85,MOBILE PARSE,मोबाईल पर्स,,
86,MOTI MALA,मोती माळा,,
87,BINDI,बिंदी,,
88,FIRKI,फिरकी,,
89,PAD,पॅड,,
90,MALWAT PATTI,मळवट पट्टी,,
91,LATKAN,लटकन,,
92,MANDOLI,मांडवली,,
93,BASHING,बाशिंग,,
94,RUMAL,रूमाल,,
95,SHAMPO,शाम्पू,,
96,JUMBAR,जुंबर,,
97,WALL PIC,वाल पीस,,
98,TORAN,तोरण,,
99,HUNDI,हुंडी,,
100,FLOWER POT,फ्लॉवर पॉट,,
101,FLOWER,फ्लॉवर,,
102,BAILGADI,बैलगाडी,,
103,REBIN,रिबीन,,
104,STONE BACCAL,स्टोन बक्कल,,
105,FRUIT DISH,फ्रुट डिश,,
106,ATTAR,अत्तर,,
107,GHASNI,घासनी,,
108,GALAN,गाळणं,,
109,TADDY,ताड्डी,,
110,MOTI MALA.,मोती माळा,,
111,LAXMI HAAR,लक्ष्मी हार,,
112,BAJU BANDH,बाजूबंद,,
113,KAMBAR PATTA,कंबर पट्टा,,
114,JANHVI SET,जानवी सेट,,
115,JANHVI GHANTAN,जानवी गंठन,,
116,MIRROR,आरसा,,
117,SOAP CASE,सोप केस,,
118,CHIMANI,चिमणी,,
119,TEA GALAN,चहा गाळणी,,
120,BRUSH STAND,ब्रश स्टँड,,
121,SUPLI,सुफली,,
122,KAPDA CHIMATA,कपडा,,
123,PANI BOTEL,पाणी बॉटल,,
124,GALLA,गल्ला,,
125,MUG,मूग,,
126,SANDSHI,सांडशी,,
127,BHARNI,भरणी,,
128,POWDER PUFF,पावडर पुफ,,
129,KHUTE,खुंटे,,
130,KHORYA,खोऱ्या,,
131,NELCUTTER,नेलकटर,,
132,KATRI,कात्री,,
133,SURI,सूरी,,
134,WALA,वाला,,
135,MANGATI,मनगटी,,
136,PALI,पळि,,
137,ULATAN,उलथान,,
138,PLATE,प्लेट,,
139,KATORI,कटोरी,,
140,STEEL DABA,स्टील डब्बा,,
141,SUI,सुई,,
142,PANCHIPALE,पंचपाल,,
143,LOCK,लॉक,,
144,KAPDA BRUSH,कपडा ब्रश,,
145,LAST BILL,लास्ट बिल,,
146,SACHA,साचा,,
147,KUNKU,कुंकू,,
148,KISNI,कीसनी,,
149,CHMCHA,चमचा,,
150,SONGTI,सोंगटी,,
151,AARTI,आरती,,
152,LOTI,लोटी,,
153,KAYCHIN,कैची,,
154,LIGHTER,लायटर,,
155,TESTAR,टेस्टर,,
156,MARTUL,मारतुल,,
157,CHUNA DABBI,चुना डबी,,
158,BATTERY,बॅटरी,,
159,KARANDA,करंडा,,
160,RAVI,रवी,,
161,PUFF,पुफ,,
162,BAN,बन,,
163,BELAN,बेलन,,
164,POLPAT,पोळपाट,,
165,ZARYA,झाऱ्या,,
166,PAPAD CHIMTA,पापड चिमटा,,
167,NANDADIP,नंदादीप,,
168,LESS,लेस,,
169,GOP,गोप,,
170,GATHAVAYCHA DORA,गाठायचा दोरा,,
171,VAKAL DORA,वकाल दोरा,,
172,WATCH,,,
173,PAYAL,,,
174,DORIRAKHI,,,
175,CHANDIRAKHI,,,
176,CARDRAKHI,,,
177,TOY RAKHI,,,
178,OPEN GOD,,,
179,PHOTO FRAME,,,
180,LIGHT GIFT,,,
181,MURTI,,,
182,WATCH,,,
183,KEY STAND,,,
1184,Flower Ladi,,,
1185,Zendu Ladi,,,
1186,Moti Ladi,,,
1187,Moti Toran,,,
1188,Flower Haar,,,
1189,Zendu Haar,,,
1190,Flower Toran,,,
1191,Light Mala,,,
1192,Ghanti Latkan,,,
1193,Uparn,,,
1194,Baskar,,,
1195,Aasan,,,
1196,Zumbar,,,

